dataset,qid,sense,set,predicate,metaphoricity,uni_acc,uni_acc_over_chance
imdb,low_orange,sight,SYN_LOW,orange,0.1,0.5959999999999999,0.09599999999999986
imdb,low_purple,sight,SYN_LOW,purple,0.1,0.558,0.05800000000000005
imdb,low_angular,sight,SYN_LOW,angular,0.2,0.852,0.352
imdb,low_opaque,sight,SYN_LOW,opaque,0.25,0.728,0.22799999999999998
imdb,low_salty,taste,SYN_LOW,salty,0.3,0.7299999999999999,0.22999999999999987
imdb,low_umami,taste,SYN_LOW,umami,0.05,0.5279999999999999,0.027999999999999914
imdb,low_starchy,taste,SYN_LOW,starchy,0.05,0.5439999999999999,0.04399999999999993
imdb,low_minty,taste,SYN_LOW,minty,0.1,0.556,0.05600000000000005
imdb,low_wet,touch,SYN_LOW,wet,0.2,0.5120000000000001,0.012000000000000122
imdb,low_grainy,touch,SYN_LOW,grainy,0.15,0.5479999999999999,0.04799999999999993
imdb,low_fuzzy,touch,SYN_LOW,fuzzy,0.3,0.5960000000000001,0.09600000000000009
imdb,low_spongy,touch,SYN_LOW,spongy,0.15,0.542,0.04200000000000004
imdb,low_muffled,hearing,SYN_LOW,muffled,0.2,0.562,0.062000000000000055
imdb,low_echoey,hearing,SYN_LOW,echoey,0.1,0.574,0.07399999999999995
imdb,low_nasal,hearing,SYN_LOW,nasal,0.1,0.622,0.122
imdb,low_squeaky,hearing,SYN_LOW,squeaky,0.2,0.5519999999999999,0.051999999999999935
imdb,low_metallic,smell,SYN_LOW,metallic,0.1,0.618,0.118
imdb,low_smoky,smell,SYN_LOW,smoky,0.2,0.518,0.018000000000000016
imdb,low_floral,smell,SYN_LOW,floral,0.15,0.496,-0.0040000000000000036
imdb,low_musty,smell,SYN_LOW,musty,0.3,0.526,0.026000000000000023
imdb,high_dark,sight,SYN_HIGH,dark,0.85,0.5499999999999999,0.04999999999999993
imdb,high_bright,sight,SYN_HIGH,bright,0.8,0.626,0.126
imdb,high_colorful,sight,SYN_HIGH,colorful,0.8,0.562,0.062000000000000055
imdb,high_black,sight,SYN_HIGH,black,0.75,0.626,0.126
imdb,high_sweet,taste,SYN_HIGH,sweet,0.85,0.786,0.28600000000000003
imdb,high_bitter,taste,SYN_HIGH,bitter,0.9,0.9020000000000001,0.40200000000000014
imdb,high_sour,taste,SYN_HIGH,sour,0.8,0.9040000000000001,0.40400000000000014
imdb,high_bland,taste,SYN_HIGH,bland,0.9,0.65,0.15000000000000002
imdb,high_warm,touch,SYN_HIGH,warm,0.9,0.8779999999999999,0.3779999999999999
imdb,high_cold,touch,SYN_HIGH,cold,0.9,0.8560000000000001,0.3560000000000001
imdb,high_rough,touch,SYN_HIGH,rough,0.8,0.75,0.25
